,id,nr_sample,nr_feature,mean,std,after_nr_features
0,458,841,70,-0.2398081534772179,0.5874076121782195,73.0
1,15,699,9,-0.2886002886003022,0.2499351814673822,12.0
2,1068,1109,21,0.0,,51.0
3,11,625,4,1.751207729468577,0.2500237533849139,20.0
4,22,2000,47,-0.1325757575757542,0.4955362867291393,46.0
5,16,2000,64,0.5844155844155584,0.3755270903224496,53.0
6,1510,569,30,-0.7446808510638192,0.4757591441488846,30.0
7,18,2000,6,-0.865800865800866,0.5003387719360951,5.0
8,31,1000,20,-0.173160173160172,1.5137078259097647,35.0
9,469,797,4,-3.1565656565656504,0.7885098482826228,99.0
10,188,736,19,1.646090534979436,,23.0
11,37,768,8,-3.5433070866141776,,
12,54,846,18,-3.1696428571428523,1.258172989352827,19.0
13,14,2000,76,1.9696969696969595,0.694329650750889,53.0
14,23,1473,9,-2.4640657084188966,0.290392928618698,18.0
15,50,958,9,5.638801261829666,1.2779223919287228,11.0
